PROJECT_ID,USR_PRINCIPAL_INVESTIGATOR,USR_DIAGNOSIS_AREA,USR_FUNDING_DATE_START,USR_FUNDING_DATE_END
218,Kenneth Ottenbacher,29,1/1/08,12/31/11
134,Patricia Davies,22,1/1/08,12/31/08
202,Stephen Page,24,1/1/08,12/31/08
203,Stephen Page,24,1/1/08,12/31/08
294,Mary Lou Leibold,16,1/1/08,12/31/09
39,Arlene Schmid,24,3/2/08,9/21/12
46,Marieke Van Puymbroeck,29,3/7/08,12/5/08
147,Steven Kymes,27,4/1/08,3/31/10
201,John Chae,24,4/1/08,3/31/11
376,Helen S Cohen,29,4/1/08,3/30/14
47,Christopher Callahan,29,4/4/08,12/5/08
251,Debra Fox,24,6/1/08,5/31/10
267,Grace Baranek,1,7/1/08,9/30/11
267,Grace Baranek,22,7/1/08,9/30/11
75,Olga Solomon,1,7/1/08,6/30/09
215,Roseann Schaaf,22,7/1/08,8/25/08
105,Roseann Schaaf,1,7/30/08,4/3/16
189,Glenn Ostir,29,8/1/08,6/30/13
214,Roseann Schaaf,22,9/1/08,8/30/11
214,Roseann Schaaf,1,9/1/08,8/30/11
45,Marieke Van Puymbroeck,24,9/22/08,9/22/09
95,Stephen Page,23,9/30/08,9/29/09
199,Jerzy Szaflarski,24,9/30/08,7/31/09
200,Nicol Korner-Bitensky,24,10/1/08,9/1/10
133,Cathy Schelly,29,10/1/08,9/30/11
240,Ellen Whyte,24,12/1/08,11/30/13
166,Mary Jane Mulcahey,29,1/1/09,12/31/12
167,Mary Jane Mulcahey,23,1/1/09,12/31/11
182,Mary Jane Mulcahey,8,1/1/09,12/31/14
148,Allen Heinimann,24,1/1/09,1/1/14
148,Allen Heinimann,23,1/1/09,1/1/14
268,Elizabeth Crais,1,1/1/09,12/31/12
150,Jack Engsberg,29,1/1/09,1/1/11
270,Paul Yoder,1,1/1/09,12/31/13
33,Chiung-ju Liu,6,2/1/09,1/31/10
196,Elena Volpi,18,6/1/09,3/31/14
196,Elena Volpi,17,6/1/09,3/31/14
196,Elena Volpi,24,6/1/09,3/31/14
196,Elena Volpi,7,6/1/09,3/31/14
196,Elena Volpi,11,6/1/09,3/31/14
196,Elena Volpi,26,6/1/09,3/31/14
196,Elena Volpi,29,6/1/09,3/31/14
204,Stephen Page,24,6/1/09,5/31/10
60,Sherrilene Classen,29,7/1/09,11/1/09
369,Corey McGee,3,7/1/09,6/30/13
369,Corey McGee,17,7/1/09,6/30/13
369,Corey McGee,26,7/1/09,6/30/13
190,James Goodwin,29,7/14/09,3/31/10
216,Roseann Schaaf,22,8/1/09,12/31/11
78,Olga Solomon,1,8/1/09,5/31/10
216,Roseann Schaaf,1,8/1/09,12/31/11
149,Eric Lenze,26,8/20/09,7/31/10
149,Eric Lenze,16,8/20/09,7/31/10
149,Eric Lenze,29,8/20/09,7/31/10
2,Stephen Page,24,9/1/09,8/31/10
24,Wendy Coster,1,9/1/09,8/31/13
44,Arlene Schmid,24,9/11/09,9/23/11
177,Charles Boult,24,9/29/09,9/29/11
177,Charles Boult,29,9/29/09,9/29/11
177,Charles Boult,18,9/29/09,9/29/11
177,Charles Boult,12,9/29/09,9/29/11
177,Charles Boult,7,9/29/09,9/29/11
177,Charles Boult,11,9/29/09,9/29/11
177,Charles Boult,26,9/29/09,9/29/11
328,Olga Solomon,1,9/30/09,8/31/12
76,Olga Solomon,1,9/30/09,8/31/12
27,Christine Helfrich,25,10/1/09,9/30/12
27,Christine Helfrich,28,10/1/09,9/30/12
27,Christine Helfrich,12,10/1/09,9/30/12
